community_id,template,activities,normal_support,normal_satisfied,normal_total,analysis_type
0,<Template.Existence: 1 >,['Request Payment'],1.0,54,54,community_0_as_normal
0,<Template.Exactly: 3 >,['Request Payment'],1.0,54,54,community_0_as_normal
0,<Template.Existence: 1 >,['Request For Payment SUBMITTED by EMPLOYEE'],1.0,54,54,community_0_as_normal
0,<Template.Exactly: 3 >,['Request For Payment SUBMITTED by EMPLOYEE'],0.9814814814814815,53,54,community_0_as_normal
0,<Template.Existence: 1 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,54,54,community_0_as_normal
0,<Template.Exactly: 3 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,54,54,community_0_as_normal
0,<Template.Existence: 1 >,['Payment Handled'],1.0,54,54,community_0_as_normal
0,<Template.Exactly: 3 >,['Payment Handled'],1.0,54,54,community_0_as_normal
0,<Template.End: 5 >,['Payment Handled'],1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",0.9814814814814815,53,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Chain Response: 11 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Chain Precedence: 14 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Chain Response: 11 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Chain Precedence: 14 >,"['Request Payment', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Payment Handled', 'Request Payment']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.9814814814814815,53,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.9259259259259259,50,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.9259259259259259,50,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",0.9814814814814815,53,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Payment Handled', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Response: 9 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Response: 10 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Precedence: 12 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Alternate Precedence: 13 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Not Response: 23 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Precedence: 24 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Response: 25 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,54,54,community_0_as_normal
0,<Template.Not Chain Precedence: 26 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,54,54,community_0_as_normal
1,<Template.Existence: 1 >,['Request Payment'],1.0,25,25,community_1_as_normal
1,<Template.Exactly: 3 >,['Request Payment'],1.0,25,25,community_1_as_normal
1,<Template.Existence: 1 >,['Request For Payment SUBMITTED by EMPLOYEE'],1.0,25,25,community_1_as_normal
1,<Template.Exactly: 3 >,['Request For Payment SUBMITTED by EMPLOYEE'],0.88,22,25,community_1_as_normal
1,<Template.Existence: 1 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,25,25,community_1_as_normal
1,<Template.Exactly: 3 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,25,25,community_1_as_normal
1,<Template.Existence: 1 >,['Permit SUBMITTED by EMPLOYEE'],1.0,25,25,community_1_as_normal
1,<Template.Exactly: 3 >,['Permit SUBMITTED by EMPLOYEE'],1.0,25,25,community_1_as_normal
1,<Template.Init: 4 >,['Permit SUBMITTED by EMPLOYEE'],1.0,25,25,community_1_as_normal
1,<Template.Existence: 1 >,['Payment Handled'],1.0,25,25,community_1_as_normal
1,<Template.Exactly: 3 >,['Payment Handled'],1.0,25,25,community_1_as_normal
1,<Template.End: 5 >,['Payment Handled'],1.0,25,25,community_1_as_normal
1,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",0.88,22,25,community_1_as_normal
1,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Not Response: 23 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Not Precedence: 24 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Not Chain Response: 25 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Not Chain Precedence: 26 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,25,25,community_1_as_normal
1,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,25,25,community_1_as_normal
1,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,25,25,community_1_as_normal
1,<Template.Response: 9 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Alternate Response: 10 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Chain Response: 11 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Precedence: 12 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
1,<Template.Alternate Precedence: 13 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,25,25,community_1_as_normal
