community_id,template,activities,normal_support,normal_satisfied,normal_total
33,<Template.Existence: 1 >,['Request Payment'],1.0,71,71
33,<Template.Exactly: 3 >,['Request Payment'],1.0,71,71
33,<Template.Existence: 1 >,['Request For Payment SUBMITTED by EMPLOYEE'],1.0,71,71
33,<Template.Exactly: 3 >,['Request For Payment SUBMITTED by EMPLOYEE'],0.971830985915493,69,71
33,<Template.Existence: 1 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,71,71
33,<Template.Exactly: 3 >,['Request For Payment FINAL_APPROVED by SUPERVISOR'],1.0,71,71
33,<Template.Existence: 1 >,['Payment Handled'],1.0,71,71
33,<Template.Exactly: 3 >,['Payment Handled'],1.0,71,71
33,<Template.End: 5 >,['Payment Handled'],1.0,71,71
33,<Template.Existence: 1 >,['Permit SUBMITTED by EMPLOYEE'],0.971830985915493,69,71
33,<Template.Exactly: 3 >,['Permit SUBMITTED by EMPLOYEE'],0.971830985915493,69,71
33,<Template.Init: 4 >,['Permit SUBMITTED by EMPLOYEE'],0.971830985915493,69,71
33,<Template.Existence: 1 >,['Request For Payment APPROVED by ADMINISTRATION'],0.9577464788732394,68,71
33,<Template.Exactly: 3 >,['Request For Payment APPROVED by ADMINISTRATION'],0.9577464788732394,68,71
33,<Template.Existence: 1 >,['Permit APPROVED by ADMINISTRATION'],0.9295774647887324,66,71
33,<Template.Exactly: 3 >,['Permit APPROVED by ADMINISTRATION'],0.9295774647887324,66,71
33,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",0.971830985915493,69,71
33,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Not Response: 23 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Precedence: 24 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Not Chain Response: 25 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request Payment']",1.0,71,71
33,<Template.Not Chain Precedence: 26 >,"['Request Payment', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Choice: 6 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Response: 9 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Alternate Response: 10 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.971830985915493,69,71
33,<Template.Precedence: 12 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Alternate Precedence: 13 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Not Response: 23 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Precedence: 24 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Chain Response: 25 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Chain Response: 25 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.9859154929577465,70,71
33,<Template.Not Chain Precedence: 26 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request For Payment SUBMITTED by EMPLOYEE']",1.0,71,71
33,<Template.Not Chain Precedence: 26 >,"['Request For Payment SUBMITTED by EMPLOYEE', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",0.9859154929577465,70,71
33,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Choice: 6 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Response: 9 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Alternate Response: 10 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Chain Response: 11 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Precedence: 12 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Alternate Precedence: 13 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Chain Precedence: 14 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Request Payment']",1.0,71,71
33,<Template.Not Response: 23 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Not Precedence: 24 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Not Chain Response: 25 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Not Chain Precedence: 26 >,"['Request Payment', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Choice: 6 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Choice: 6 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
33,<Template.Responded Existence: 8 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Response: 9 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Alternate Response: 10 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Precedence: 12 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Alternate Precedence: 13 >,"['Request For Payment FINAL_APPROVED by SUPERVISOR', 'Payment Handled']",1.0,71,71
33,<Template.Not Response: 23 >,"['Payment Handled', 'Request For Payment FINAL_APPROVED by SUPERVISOR']",1.0,71,71
